Project ID;Naam;Omschrijving;Opmerking;Rubrieken;Eerste publicatiedatum;Laatste publicatiedatum;Gemuteerd op;Plan;Referentienummer;Aanbestedingsdatum;Verwachte gunningsdatum;Startdatum;Opleverdatum;Bouwfase;Raming;Ramingbedrag;Duurzame eigenschappen;Sloopwerk uitgevoerd;Reden stoppen project;Reden vertraging project;Adres;Toevoeging huisnummer;Postcode;Wijk/buurt;Plaats;Provincie;Land;Externe link;Bouwtype;Aantal bouwlagen van;Aantal bouwlagen t/m;Oppervlakte;Inhoud;BAG Pand ID;BAG Verblijfsobject ID;Organisatie - Organisatie ID;Organisatie - Naam;Organisatie - Website;Organisatie - LinkedIn;Organisatie - Twitter;Organisatie - Kvk-nummer;Organisatie - Vestigingsnummer;Organisatie - Telefoon;Organisatie - Fax;Organisatie - E-mail;Organisatie - Rol;Organisatie - Adresregel 1;Organisatie - Nummer;Organisatie - Adresregel 2;Organisatie - Postcode;Organisatie - Plaats;Organisatie - Postadres Adresregel 1;Organisatie - Postadres Nummer;Organisatie - Postadres Adresregel 2;Organisatie - Postadres Postcode;Organisatie - Postadres Plaats;Organisatie - Contact achternaam;Organisatie - Contact tussenvoegsel;Organisatie - Contact voornaam;Organisatie - Contact initialen;Organisatie - Contact functie;Organisatie - Contact geslacht;Organisatie - Werken Enkelvoudig onderhands;Organisatie - Werken Meervoudig onderhands;Organisatie - Werken Nationale aan-bestedings-procedures;Organisatie - Werken Europese aan-bestedings-procedures;Organisatie - Leveringen Enkelvoudig onderhands;Organisatie - Leveringen Meervoudig onderhands;Organisatie - Leveringen Nationale aan-bestedings-procedures;Organisatie - Leveringen Europese aan-bestedings-procedures;Organisatie - Diensten Enkelvoudig onderhands;Organisatie - Diensten Meervoudig onderhands;Organisatie - Diensten Nationale aan-bestedings-procedures;Organisatie - Diensten Europese aan-bestedings-procedures;Organisatie - Minimaal aantal uit te nodigen leveranciers Enkelvoudig onderhands;Organisatie - Minimaal aantal uit te nodigen leveranciers Meervoudig onderhands;Organisatie - Minimaal aantal uit te nodigen leveranciers Nationale aan-bestedings-procedures;Organisatie - Minimaal aantal uit te nodigen leveranciers Europese aan-bestedings-procedures;Organisatie - Opmerking;Taak - Vervaldatum;Taak - Prioriteit;Taak - Onderwerp;Taak - Omschrijving;Taak - Voltooid;Taak - Eigenaar;Gebouwcode;Bouwmethode;Soort woningen;Aantal woningen;Type woning;Type dak
530230;Appartementen;Bouwen 181 huurappartementen / commerciële ruimte / gedeeltelijk ondergrondse parkeerplaats aan de Aletta Jacobslaan. Project ligt stil. Doorgang van het project nog onzeker vanwege financiering.;;Wonen, Winkels en parkeren;13-1-2020;8-11-2023;9-11-2023;;;;;31-3-2023;31-3-2026;Gegund;10.000.000 - 49.999.999;30.000.000;LED, Warmtepomp, Zonnepanelen;Nee;;Financiering;Aletta Jacobslaan 107;;1066 BP;Slotervaart Zuid;Amsterdam;Noord-Holland;Nederland;;;9;11;12500;;0363010012141958;0363100012252508;5279;OZ Architecten B.V.;www.ozarchitect.nl;www.linkedin.com/company/1559593;twitter.com/ozarchitecten;34370991;000017548624;020-3141111;;info@ozarchitect.nl;Architect;Pedro de Medinalaan;7:00 AM;;1086 XK;Amsterdam;;;;;;Reedijk;;Heleen;H.;Architect;Vrouw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530230;Appartementen;Bouwen 181 huurappartementen / commerciële ruimte / gedeeltelijk ondergrondse parkeerplaats aan de Aletta Jacobslaan. Project ligt stil. Doorgang van het project nog onzeker vanwege financiering.;;Wonen, Winkels en parkeren;13-1-2020;8-11-2023;9-11-2023;;;;;31-3-2023;31-3-2026;Gegund;10.000.000 - 49.999.999;30.000.000;LED, Warmtepomp, Zonnepanelen;Nee;;Financiering;Aletta Jacobslaan 107;;1066 BP;Slotervaart Zuid;Amsterdam;Noord-Holland;Nederland;;;9;11;12500;;0363010012141958;0363100012252508;2115;De Vries en Verburg Bouw B.V.;www.devriesverburg.nl;www.linkedin.com/company/de-vries-en-verburg/;twitter.com/vriesverburg;29029229;000018600921;0182-341741;;info@devriesverburg.nl;Hoofdaannemer;'t Vaartland;8;;2821 LH;Stolwijk;Postbus;59;;2820 AB;Stolwijk;Bruin;de;Arjan;A.;Werkvoorbereider;Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530230;Appartementen;Bouwen 181 huurappartementen / commerciële ruimte / gedeeltelijk ondergrondse parkeerplaats aan de Aletta Jacobslaan. Project ligt stil. Doorgang van het project nog onzeker vanwege financiering.;;Wonen, Winkels en parkeren;13-1-2020;8-11-2023;9-11-2023;;;;;31-3-2023;31-3-2026;Gegund;10.000.000 - 49.999.999;30.000.000;LED, Warmtepomp, Zonnepanelen;Nee;;Financiering;Aletta Jacobslaan 107;;1066 BP;Slotervaart Zuid;Amsterdam;Noord-Holland;Nederland;;;9;11;12500;;0363010012141958;0363100012252508;235142;Corendon;www.corendon.nl;;;34220900;000019979118;023-5307593;;group@corendon.nl;Opdrachtgever;Singaporestraat;82;;1175 RA;LIJNDEN;Singaporestraat;82;;1175 RA;LIJNDEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530230;Appartementen;Bouwen 181 huurappartementen / commerciële ruimte / gedeeltelijk ondergrondse parkeerplaats aan de Aletta Jacobslaan. Project ligt stil. Doorgang van het project nog onzeker vanwege financiering.;;Wonen, Winkels en parkeren;13-1-2020;8-11-2023;9-11-2023;;;;;31-3-2023;31-3-2026;Gegund;10.000.000 - 49.999.999;30.000.000;LED, Warmtepomp, Zonnepanelen;Nee;;Financiering;Aletta Jacobslaan 107;;1066 BP;Slotervaart Zuid;Amsterdam;Noord-Holland;Nederland;;;9;11;12500;;0363010012141958;0363100012252508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"#Top Arch
#Rating A";;;;;;;;;;;;
530230;Appartementen;Bouwen 181 huurappartementen / commerciële ruimte / gedeeltelijk ondergrondse parkeerplaats aan de Aletta Jacobslaan. Project ligt stil. Doorgang van het project nog onzeker vanwege financiering.;;Wonen, Winkels en parkeren;13-1-2020;8-11-2023;9-11-2023;;;;;31-3-2023;31-3-2026;Gegund;10.000.000 - 49.999.999;30.000.000;LED, Warmtepomp, Zonnepanelen;Nee;;Financiering;Aletta Jacobslaan 107;;1066 BP;Slotervaart Zuid;Amsterdam;Noord-Holland;Nederland;;;9;11;12500;;0363010012141958;0363100012252508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;woontorens/flats;Nieuwbouw;Huurwoningen;181;Appartement;Vlak
530230;Appartementen;Bouwen 181 huurappartementen / commerciële ruimte / gedeeltelijk ondergrondse parkeerplaats aan de Aletta Jacobslaan. Project ligt stil. Doorgang van het project nog onzeker vanwege financiering.;;Wonen, Winkels en parkeren;13-1-2020;8-11-2023;9-11-2023;;;;;31-3-2023;31-3-2026;Gegund;10.000.000 - 49.999.999;30.000.000;LED, Warmtepomp, Zonnepanelen;Nee;;Financiering;Aletta Jacobslaan 107;;1066 BP;Slotervaart Zuid;Amsterdam;Noord-Holland;Nederland;;;9;11;12500;;0363010012141958;0363100012252508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;winkels;Nieuwbouw;;;;
530230;Appartementen;Bouwen 181 huurappartementen / commerciële ruimte / gedeeltelijk ondergrondse parkeerplaats aan de Aletta Jacobslaan. Project ligt stil. Doorgang van het project nog onzeker vanwege financiering.;;Wonen, Winkels en parkeren;13-1-2020;8-11-2023;9-11-2023;;;;;31-3-2023;31-3-2026;Gegund;10.000.000 - 49.999.999;30.000.000;LED, Warmtepomp, Zonnepanelen;Nee;;Financiering;Aletta Jacobslaan 107;;1066 BP;Slotervaart Zuid;Amsterdam;Noord-Holland;Nederland;;;9;11;12500;;0363010012141958;0363100012252508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;parkeergarages;Nieuwbouw;;;;
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;273271;Pro6 Vastgoed;www.pro6vastgoed.nl;nl.linkedin.com/company/pro6-vastgoed;;53600762;000023469579;;;info@studiopro6.nl;Projectontwikkelaar;Einsteinstraat;14-C;;1821 BZ;Alkmaar;;;;;;Faber;;Benjamin;B.;;Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;273271;Pro6 Vastgoed;www.pro6vastgoed.nl;nl.linkedin.com/company/pro6-vastgoed;;53600762;000023469579;;;info@studiopro6.nl;Architect;Einsteinstraat;14-C;;1821 BZ;Alkmaar;;;;;;Faber;;Benjamin;B.;;Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;186217;IRG Ingenieursbureau Rijnders & De Groot;www.irghk.nl;;;57887950;000027285391;0223-523745;;info@irghk.nl;Constructeur;Charlottaring;6;;1761 AX;Anna Paulowna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;2758;Ouwehand Bouw Groep;www.ouwehandbouw.nl;www.linkedin.com/company/ouwehand-bouw-&-vastgoed-realisatie/;twitter.com/OuwehandBouw;28014371;000017904730;071-4020274;;katwijk@ouwehandbouw.nl;Hoofdaannemer;Voorschoterweg;29;;2235 SE;Katwijk;;;;;;Ouwehand;;Martin;M.;Directeur;Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;154786;Wilbrink & v.d. Vlugt Makelaars;www.onsaanbod.nl;;twitter.com/wilbrinkvdvlugt;28070220;000020054068;0252-419049;;info@wilbrinkvandervlugt.nl;Makelaar;Heereweg;231;;2161 BG;LISSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;36208;Boy Limmen Sloopwerken B.V.;www.boylimmen.nl;www.linkedin.com/company/boy-limmen-sloopwerken-b-v;twitter.com/BLSloopwerken;37143242;000007821069;072-5713989;;info@boylimmen.nl;Onderaannemer;Buys Ballotstraat;8;;1704 SK;Heerhugowaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;35804;Locas Installatietechniek B.V.;www.locastechniek.nl;;;37034142;;071-3619254;;info@locastechniek.nl;W-Installateur;'s-Gravendijckseweg;31;;2201 CZ;NOORDWIJK ZH;;;;;;Winter;de;Tijmen;T.;Projectleider;Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;278785;Locas Electrotechniek B.V. (voorheen Swart Electrotechniek B.V.);https://swartelectrotechniek.nl/;;;37029245;000019322941;071-7200905;;info@swartelectrotechniek.nl;E-Installateur;'s-Gravendijckseweg;31;;2201 CZ;Noordwijk;;;;;;Winter;de;Thijmen;T.;Projectleider;Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;35804;Locas Installatietechniek B.V.;www.locastechniek.nl;;;37034142;;071-3619254;;info@locastechniek.nl;S-Installateur;'s-Gravendijckseweg;31;;2201 CZ;NOORDWIJK ZH;;;;;;Winter;de;Tijmen;T.;Projectleider;Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BBO-account;;;;;;;;;;;;
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gestapelde bouw/flats;Nieuwbouw;Koopwoningen;20;;Hellend
541546;Appartementencomplex;Bouwen 20 koopappartementen  / parkeergarage aan de Grachtweg. Plan 'Havenhuys'. Boy Limmen Sloopwerken heeft de sloopwerkzaamheden uitgevoerd.;;Wonen, Winkels en parkeren;25-10-2021;9-11-2023;9-11-2023;Havenhuys;;;;20-10-2022;5-4-2024;Uitvoering;2.000.000 - 4.999.999;3.100.000;LED, Warmtepomp, Zonnepanelen;Ja;;;Grachtweg 63;;2161 HM;;Lisse;Zuid-Holland;Nederland;;;4;;2500;;0553010000013477;0553100000016249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;parkeergarages;Nieuwbouw;;;;
